run,repetition,Module,Name,
Third-n4-0-20191108-15:12:02-9632,0,Pizza.sink,lifeTimeU1:max,70.72930607584
Third-n4-10-20191108-15:12:20-6480,10,Pizza.sink,lifeTimeU1:max,46.620725529424
Third-n4-11-20191108-15:12:22-860,11,Pizza.sink,lifeTimeU1:max,73.336432430597
Third-n4-12-20191108-15:12:23-992,12,Pizza.sink,lifeTimeU1:max,47.165511724452
Third-n4-13-20191108-15:12:25-2300,13,Pizza.sink,lifeTimeU1:max,50.270538762552
Third-n4-14-20191108-15:12:27-1088,14,Pizza.sink,lifeTimeU1:max,47.629712399324
Third-n4-15-20191108-15:12:29-11852,15,Pizza.sink,lifeTimeU1:max,42.063783730263
Third-n4-16-20191108-15:12:31-4672,16,Pizza.sink,lifeTimeU1:max,90.218425907785
Third-n4-17-20191108-15:12:33-7796,17,Pizza.sink,lifeTimeU1:max,61.496190407494
Third-n4-18-20191108-15:12:34-1696,18,Pizza.sink,lifeTimeU1:max,58.454091348339
Third-n4-19-20191108-15:12:36-1324,19,Pizza.sink,lifeTimeU1:max,55.667747014887
Third-n4-1-20191108-15:12:04-3788,1,Pizza.sink,lifeTimeU1:max,47.406001766833
Third-n4-2-20191108-15:12:06-5824,2,Pizza.sink,lifeTimeU1:max,56.580320991104
Third-n4-3-20191108-15:12:08-7624,3,Pizza.sink,lifeTimeU1:max,52.960106890302
Third-n4-4-20191108-15:12:09-11272,4,Pizza.sink,lifeTimeU1:max,49.877035649611
Third-n4-5-20191108-15:12:11-9876,5,Pizza.sink,lifeTimeU1:max,69.433535854025
Third-n4-6-20191108-15:12:13-4380,6,Pizza.sink,lifeTimeU1:max,43.051483952
Third-n4-7-20191108-15:12:15-10244,7,Pizza.sink,lifeTimeU1:max,50.041855312847
Third-n4-8-20191108-15:12:16-6864,8,Pizza.sink,lifeTimeU1:max,46.692432603399
Third-n4-9-20191108-15:12:18-736,9,Pizza.sink,lifeTimeU1:max,50.456295008084
