run,repetition,Module,Name,
Third-n5-0-20191108-15:12:11-3484,0,Pizza.sink,lifeTime:max,21394.036545252
Third-n5-10-20191108-15:12:29-3388,10,Pizza.sink,lifeTime:max,18297.197042602
Third-n5-11-20191108-15:12:31-9600,11,Pizza.sink,lifeTime:max,17499.297229703
Third-n5-12-20191108-15:12:32-5500,12,Pizza.sink,lifeTime:max,16639.774344388
Third-n5-13-20191108-15:12:34-9120,13,Pizza.sink,lifeTime:max,19909.960021558
Third-n5-14-20191108-15:12:36-7564,14,Pizza.sink,lifeTime:max,18441.440346295
Third-n5-15-20191108-15:12:38-10140,15,Pizza.sink,lifeTime:max,20495.397106264
Third-n5-16-20191108-15:12:39-9044,16,Pizza.sink,lifeTime:max,19652.825137527
Third-n5-17-20191108-15:12:40-6860,17,Pizza.sink,lifeTime:max,21429.1014447
Third-n5-18-20191108-15:12:42-2992,18,Pizza.sink,lifeTime:max,19197.743800068
Third-n5-19-20191108-15:12:43-10768,19,Pizza.sink,lifeTime:max,19501.274318501
Third-n5-1-20191108-15:12:13-9392,1,Pizza.sink,lifeTime:max,18771.054013708
Third-n5-2-20191108-15:12:15-5368,2,Pizza.sink,lifeTime:max,18014.401196029
Third-n5-3-20191108-15:12:16-1996,3,Pizza.sink,lifeTime:max,18102.900125315
Third-n5-4-20191108-15:12:18-11148,4,Pizza.sink,lifeTime:max,19407.699925838
Third-n5-5-20191108-15:12:20-11664,5,Pizza.sink,lifeTime:max,20491.452116684
Third-n5-6-20191108-15:12:22-228,6,Pizza.sink,lifeTime:max,22325.531351014
Third-n5-7-20191108-15:12:23-804,7,Pizza.sink,lifeTime:max,18513.288944119
Third-n5-8-20191108-15:12:25-1068,8,Pizza.sink,lifeTime:max,17743.581834532
Third-n5-9-20191108-15:12:27-11096,9,Pizza.sink,lifeTime:max,17989.830487175
